symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
TRXUSDT,1440,1,0.5694,0.9933,1.0000,0.165150,0.028221,0.030000,0.055000,0.080000,1.0630,1.9489,0.5228,0.9165,0.7650,0.5000,1.0000,0.8662,0.9933,0.7000,0.4311,0.8000,0.0609,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8666,D,0.6570,0.5704,0.6834,0.173364,0.5000,0.0067,20.18,0.000000,1.0000,0.8457,0.0,-1.0,-0.028221,0.003875,0.033727,2
TRXUSDT,1440,1,0.5652,0.9933,1.0000,0.162790,0.028930,0.030000,0.055000,0.080000,1.0370,1.9011,0.5228,0.9364,0.7333,0.5000,1.0000,0.8662,0.9933,0.7000,0.4311,0.8000,0.0609,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8608,D,0.6566,0.5583,0.7129,0.177135,0.5000,0.0067,19.54,0.000000,1.0000,0.8455,1.0,1.0,0.030000,0.032312,0.020886,7
ETHUSDT,1440,1,0.6104,0.9933,1.0000,3127.030029,0.067079,0.050309,0.092233,0.142543,0.7500,1.3750,0.7772,0.9393,0.5593,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8756,D,0.6971,0.8274,1.3896,0.175260,0.5000,0.0067,9.10,0.000000,1.0000,0.8637,1.0,1.0,0.050309,0.084755,0.017003,2
DOGEUSDT,1440,1,0.6340,0.9933,1.0000,0.277940,0.118829,0.089122,0.163390,0.252512,0.7500,1.3750,0.7772,0.9430,0.6341,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8901,D,0.7123,0.8241,1.2255,0.164780,0.5000,0.0067,5.34,0.000000,1.0000,0.8705,1.0,3.0,0.252512,0.266460,0.018313,1
BTCUSDT,1440,1,0.6813,0.9933,1.0000,80410.000000,0.051872,0.038904,0.071325,0.110229,0.7500,1.3750,0.8401,0.9616,0.6990,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9078,C,0.7505,0.8736,1.2018,0.171761,0.5000,0.0067,13.13,0.000000,1.0000,0.8877,1.0,3.0,0.110229,0.116777,0.001851,1
ADAUSDT,1440,1,0.5648,0.9933,1.0000,0.590700,0.099446,0.074584,0.136738,0.211322,0.7500,1.3750,0.7772,0.9008,0.4443,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8498,D,0.6647,0.8627,1.7490,0.189581,0.4443,0.0067,5.68,0.000000,1.0000,0.8491,1.0,1.0,0.074584,0.109700,0.059252,2
ETHUSDT,1440,1,0.6445,0.9933,1.0000,3185.189941,0.067552,0.050664,0.092884,0.143548,0.7500,1.3750,0.8401,0.9463,0.5877,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8887,D,0.7252,0.8878,1.4295,0.181329,0.5000,0.0067,9.54,0.000000,1.0000,0.8763,1.0,1.0,0.050664,0.064947,0.024501,1
SOLUSDT,1440,1,0.6808,0.9933,1.0000,222.330002,0.080292,0.060219,0.110402,0.170622,0.7500,1.3750,0.8401,0.9704,0.6908,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9060,C,0.7514,0.8658,1.2161,0.175137,0.5000,0.0067,8.48,0.000000,1.0000,0.8881,0.0,-1.0,-0.080292,0.015113,0.096613,2
ADAUSDT,1440,1,0.5837,0.9933,1.0000,0.613900,0.100041,0.075031,0.137557,0.212588,0.7500,1.3750,0.7772,0.9123,0.4933,0.5000,1.0000,0.8173,0.9933,0.2000,0.2000,0.8000,0.8000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8621,D,0.6771,0.8519,1.5755,0.180500,0.4933,0.0067,5.83,0.000000,1.0000,0.8547,0.0,-1.0,-0.100041,0.067763,0.154423,2
AVAXUSDT,1440,1,0.6171,0.9933,1.0000,35.748001,0.088307,0.066230,0.121422,0.187652,0.7500,1.3750,0.8401,0.9309,0.5147,0.5000,1.0000,0.8173,0.9933,0.8000,0.8000,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8727,D,0.7071,0.9025,1.6322,0.191849,0.5000,0.0067,6.99,0.000000,1.0000,0.8682,0.0,-1.0,-0.088307,0.055611,0.126497,2
